"","X6.I.consider.myself.a.tech.savvy..well.informed.about.or.proficient.in.the.use.of.modern.technology..especially.computers.","X7.I.have.an.understanding.of.the.basic.computational.principles.of.artificial.intelligence..AI.","X8.I.am.comfortable.with.the.nomenclature.related.to.artificial.intelligence","X9.I.have.an.understanding.of.the.limitations.of.artificial.intelligence","X10.Deep.Learning..and..Artificial.Intelligence..are.currently.being.broadly.discussed.in.the.radiological.community...Were.you.already.aware.of.these.topics.in.radiology..","X11.Deep.Learning..and..Artificial.Intelligence..are.currently.being.broadly.discussed.in.the.radiological.community...Do.you.personally.have.a.basic.understanding.of.the.technologies.used.in.these.topics..","X13.The.following.questions.test.your.understanding.of.deep.learning..a.subtype.of.artificial.intelligence....Deep.learning.is.a.class.of.machine.learning.algorithms.that.use.multiple.layers.of.neural.networks..","X14.The.following.questions.test.your.understanding.of.deep.learning..a.subtype.of.artificial.intelligence....Deep.learning.methods.learn.directly.from.data..without.the.need.for.manual.feature.extraction..","X15.The.following.questions.test.your.understanding.of.deep.learning..a.subtype.of.artificial.intelligence....Application.of.deep.learning.in.radiology.requires.large.databases.of.labeled.medical.images..","X16.The.following.questions.test.your.understanding.of.deep.learning..a.subtype.of.artificial.intelligence....Deep.learning.systems.are.often.opaque..it.can.be.difficult.to.delineate.the.underlying..thought.process...","X17.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.revolutionize.radiology.","X18.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.revolutionize.medicine.in.general.","X19.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...The.human.radiologist.will.be.replaced.in.the.foreseeable.future.","X20.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...The.human..non.interventional..physician.will.be.replaced.in.the.foreseeable.future.","X21.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...In.the.foreseeable.future..all.physicians.will.be.replaced.","X22.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...These.developments.frighten.me.","X23.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...These.developments.make.radiology.more.exciting.to.me.","X24.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...These.developments.make.medicine.in.general.more.exciting.to.me.","X25.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.never.make.the.human.physician.expendable.","X26.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...The.impact.of.artificial.intelligence.alone.will.reduce.the.number.of.radiologists.that.are.needed..","X27.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.improve.radiology.","X28.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.improve.medicine.in.general.","X29.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...I.am.less.likely.to.consider.a.career.in.radiology..given.the.advancement.of.AI.","X30.Which.of.these.specialties.do.you.think.will.be.impacted.the.earliest.and.most.","X31.All.medical.students.should.receive.teaching.in.artificial.intelligence","X32.Teaching.in.artificial.intelligence.will.be.beneficial.for.my.career","X33.At.the.end.of.my.medical.degree..I.will.be.confident.in.using.basic.healthcare.AI.tools.if.required","X34.At.the.end.of.my.medical.degree..I.will.have.a.better.understanding.of.the.methods.used.to.assess.healthcare.AI.algorithm.performance","X35.Overall..at.the.end.of.my.medical.degree..I.feel.I.will.possess.the.knowledge.needed.to.work.with.AI.in.routine.clinical.practice","X36.Would.you.consider.using.the.following.clinical.workflow..Patients..clinical.images.undergo.artificial.intelligence.analysis..A.specialist.subsequently.reviews.both.the.image.and.the.artificial.intelligence.findings.","X37.What.potential.applications.for.AI.in.radiology.do.you.see...Automated.detection.of.pathologies.in.imaging.exams.","X38.What.potential.applications.for.AI.in.radiology.do.you.see...Automated.diagnosis.in.imaging.exams.","X39.What.potential.applications.for.AI.in.radiology.do.you.see...Automated.indication.of.appropriate.imaging.exams."
"2661","N","D/SD","D/SD","D/SD","No","No","TRUE","I don't know","I don't know","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","N","A/SA","A/SA","A/SA","N","A/SA","A/SA","N","I don't know","A/SA","A/SA","N","N","N","Yes","A/SA","A/SA","A/SA"
"2662","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","N","N","D/SD","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","N","I don't know","A/SA","A/SA","N","A/SA","A/SA","Unsure","A/SA","N","A/SA"
"2663","D/SD","N","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","N","A/SA","N","D/SD","D/SD","D/SD","N","N","N","N","N","A/SA","N","I don't know","A/SA","A/SA","N","N","N","Unsure","A/SA","N","N"
"2664","N","D/SD","N","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","N","N","D/SD","A/SA","A/SA","A/SA","N","A/SA","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Unsure","A/SA","A/SA","A/SA"
"2665","N","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","TRUE","I don't know","A/SA","A/SA","N","D/SD","D/SD","N","A/SA","A/SA","N","A/SA","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Unsure","A/SA","A/SA","N"
"2666","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","A/SA","A/SA","N","D/SD","D/SD","D/SD","D/SD","A/SA","I don't know","D/SD","D/SD","A/SA","A/SA","A/SA","Unsure","A/SA","A/SA","A/SA"
"2667","N","D/SD","D/SD","D/SD","Yes","No","I don't know","I don't know","TRUE","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","N","A/SA","A/SA","A/SA","N","A/SA","A/SA","N","I don't know","A/SA","A/SA","N","N","N","Yes","N","N","A/SA"
"2668","N","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","N","A/SA","N","N","N","N","A/SA","A/SA","N","N","N","A/SA","A/SA","I don't know","A/SA","A/SA","N","D/SD","D/SD","Yes","A/SA","A/SA","A/SA"
"2669","N","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","A/SA","A/SA"
"2670","N","D/SD","D/SD","D/SD","No","No","TRUE","I don't know","I don't know","I don't know","A/SA","A/SA","N","D/SD","D/SD","A/SA","N","N","A/SA","N","N","A/SA","D/SD","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Unsure","N","N","N"
"2671","N","N","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","N","A/SA","A/SA","D/SD","D/SD","A/SA","A/SA","A/SA","A/SA","A/SA","D/SD","A/SA","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","N","N","N"
"2672","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","N","N","N","N","N","D/SD","A/SA","A/SA","A/SA","N","N","A/SA","A/SA","I don't know","A/SA","A/SA","N","A/SA","A/SA","Unsure","D/SD","N","A/SA"
"2673","A/SA","N","N","D/SD","No","No","FALSE","TRUE","I don't know","I don't know","D/SD","A/SA","A/SA","D/SD","D/SD","D/SD","D/SD","D/SD","A/SA","D/SD","A/SA","A/SA","A/SA","I don't know","N","N","N","N","N","No","N","A/SA","D/SD"
"2674","N","D/SD","N","D/SD","No","No","TRUE","I don't know","TRUE","FALSE","A/SA","A/SA","A/SA","N","N","D/SD","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","N","A/SA"
"2675","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","N","N","A/SA","A/SA","A/SA","A/SA","A/SA","N","I don't know","D/SD","A/SA","D/SD","D/SD","D/SD","Yes","D/SD","A/SA","N"
"2676","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","D/SD","A/SA","A/SA","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","D/SD","A/SA","A/SA","D/SD","I don't know","D/SD","D/SD","D/SD","D/SD","D/SD","Yes","A/SA","N","A/SA"
"2677","N","N","N","N","Yes","Yes","FALSE","FALSE","TRUE","FALSE","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","N","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","I don't know","N","N","N","N","N","Yes","A/SA","A/SA","A/SA"
"2678","N","N","D/SD","D/SD","Yes","No","TRUE","FALSE","TRUE","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","N","N","D/SD","A/SA","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","D/SD","D/SD","N","Yes","A/SA","N","A/SA"
"2679","N","A/SA","A/SA","N","No","No","TRUE","I don't know","I don't know","I don't know","A/SA","A/SA","N","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","N","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","N","A/SA"
"2680","A/SA","D/SD","D/SD","N","Yes","No","I don't know","FALSE","TRUE","TRUE","A/SA","A/SA","N","N","D/SD","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","A/SA","A/SA","D/SD","Yes","A/SA","A/SA","A/SA"
"2681","N","N","D/SD","N","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","N","N","D/SD","D/SD","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","A/SA","N","N","Yes","A/SA","A/SA","N"
"2682","N","N","A/SA","A/SA","No","No","TRUE","I don't know","I don't know","I don't know","D/SD","D/SD","A/SA","A/SA","A/SA","D/SD","A/SA","A/SA","D/SD","A/SA","A/SA","A/SA","N","I don't know","A/SA","D/SD","A/SA","A/SA","A/SA","No","A/SA","A/SA","A/SA"
"2683","A/SA","N","D/SD","N","No","No","I don't know","TRUE","TRUE","I don't know","A/SA","A/SA","D/SD","N","D/SD","A/SA","A/SA","A/SA","A/SA","N","A/SA","A/SA","N","I don't know","A/SA","A/SA","N","D/SD","D/SD","Unsure","N","A/SA","A/SA"
"2684","N","A/SA","A/SA","D/SD","No","Yes","I don't know","I don't know","TRUE","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","N","A/SA","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","A/SA","A/SA","D/SD","Yes","D/SD","D/SD","D/SD"
"2685","D/SD","D/SD","D/SD","N","No","No","TRUE","TRUE","FALSE","TRUE","A/SA","A/SA","D/SD","D/SD","D/SD","N","A/SA","N","D/SD","N","A/SA","A/SA","N","I don't know","A/SA","A/SA","N","A/SA","N","No","A/SA","D/SD","D/SD"
"2686","A/SA","N","N","N","Yes","Yes","TRUE","FALSE","TRUE","TRUE","A/SA","A/SA","N","N","N","A/SA","A/SA","A/SA","N","N","N","A/SA","N","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","A/SA","A/SA"
"2687","N","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","N","N","N","N","N","A/SA","A/SA","A/SA","N","N","N","N","N","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Unsure","N","N","N"
"2688","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","FALSE","TRUE","TRUE","N","N","N","N","N","N","N","N","N","N","N","N","N","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Unsure","N","N","N"
"2689","N","A/SA","A/SA","A/SA","No","No","I don't know","TRUE","TRUE","TRUE","A/SA","A/SA","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","A/SA","D/SD","A/SA","A/SA","N","I don't know","A/SA","A/SA","A/SA","N","N","No","N","N","A/SA"
"2690","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","N","N","N","A/SA","N","N","N","N","N","A/SA","N","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","Unsure","N","N","N"
"2691","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","FALSE","I don't know","I don't know","A/SA","N","D/SD","D/SD","D/SD","D/SD","D/SD","N","N","N","D/SD","N","D/SD","I don't know","D/SD","D/SD","D/SD","D/SD","D/SD","Yes","A/SA","D/SD","A/SA"
"2692","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","A/SA","D/SD","D/SD","A/SA","A/SA","A/SA","D/SD","A/SA","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","A/SA","A/SA","N","Unsure","A/SA","A/SA","A/SA"
"2693","A/SA","D/SD","D/SD","N","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","N","N","A/SA","A/SA","D/SD","A/SA","A/SA","D/SD","I don't know","A/SA","N","N","N","N","Yes","A/SA","A/SA","A/SA"
"2694","A/SA","D/SD","N","N","Yes","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","N","N","N","A/SA","A/SA","A/SA","A/SA","D/SD","I don't know","N","N","D/SD","D/SD","D/SD","Yes","A/SA","A/SA","A/SA"
"2695","N","N","D/SD","D/SD","Yes","No","I don't know","FALSE","I don't know","FALSE","A/SA","A/SA","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","A/SA","A/SA","N","N","A/SA","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","A/SA","A/SA"
"2696","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","N","N","D/SD","A/SA","A/SA","A/SA","A/SA","N","A/SA","A/SA","N","I don't know","A/SA","A/SA","A/SA","N","N","Unsure","A/SA","A/SA","A/SA"
"2697","A/SA","D/SD","N","D/SD","Yes","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","N","N","N","A/SA","N","A/SA","A/SA","N","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","N","A/SA"
"2698","N","N","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","N","D/SD","D/SD","N","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","N","I don't know","A/SA","A/SA","N","N","D/SD","Yes","N","A/SA","A/SA"
"2699","N","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","TRUE","TRUE","A/SA","A/SA","D/SD","D/SD","D/SD","N","N","N","A/SA","D/SD","A/SA","D/SD","D/SD","I don't know","N","N","D/SD","D/SD","D/SD","Unsure","D/SD","N","A/SA"
"2700","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","N","N","A/SA","N","N","N","N","N","N","D/SD","N","N","N","I don't know","N","N","D/SD","N","N","Unsure","N","N","N"
"2701","N","A/SA","N","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","N","N","D/SD","D/SD","A/SA","A/SA","N","N","A/SA","A/SA","N","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","N","A/SA"
"2702","N","N","D/SD","D/SD","Yes","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","D/SD","N","N","A/SA","D/SD","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","Yes","A/SA","A/SA","A/SA"
"2703","N","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","A/SA","N","D/SD","A/SA","N","A/SA","D/SD","D/SD","I don't know","N","A/SA","A/SA","D/SD","N","Unsure","D/SD","N","A/SA"
"2704","A/SA","A/SA","N","N","Yes","No","TRUE","FALSE","TRUE","TRUE","A/SA","A/SA","D/SD","D/SD","D/SD","N","A/SA","A/SA","D/SD","A/SA","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","D/SD","D/SD","N","Yes","A/SA","A/SA","D/SD"
"2705","A/SA","A/SA","A/SA","A/SA","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","A/SA","N","N","A/SA","N","I don't know","A/SA","N","N","A/SA","N","Yes","A/SA","A/SA","A/SA"
"2706","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","A/SA","D/SD","D/SD","A/SA","N","A/SA","A/SA","A/SA","A/SA","A/SA","N","I don't know","A/SA","A/SA","D/SD","N","N","Unsure","A/SA","A/SA","A/SA"
"2707","N","N","N","N","Yes","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","A/SA","D/SD","A/SA","A/SA","D/SD","I don't know","D/SD","N","A/SA","A/SA","A/SA","Yes","A/SA","A/SA","A/SA"
"2708","A/SA","A/SA","A/SA","A/SA","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","N","A/SA","A/SA","A/SA","D/SD","A/SA","A/SA","D/SD","I don't know","D/SD","N","A/SA","A/SA","A/SA","Yes","A/SA","A/SA","A/SA"
"2709","N","A/SA","N","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","D/SD","A/SA","A/SA","D/SD","A/SA","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","A/SA","A/SA"
"2710","N","D/SD","N","D/SD","Yes","No","TRUE","TRUE","TRUE","I don't know","A/SA","A/SA","N","D/SD","D/SD","N","N","N","A/SA","N","N","N","A/SA","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Unsure","A/SA","N","D/SD"
"2711","N","D/SD","D/SD","D/SD","No","No","I don't know","FALSE","I don't know","TRUE","A/SA","A/SA","N","D/SD","D/SD","A/SA","A/SA","N","A/SA","N","A/SA","A/SA","N","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Unsure","A/SA","A/SA","N"
"2712","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","N","D/SD","D/SD","N","N","A/SA","N","N","N","N","N","I don't know","N","N","D/SD","D/SD","D/SD","Unsure","N","N","N"
"2713","N","D/SD","D/SD","D/SD","No","No","TRUE","FALSE","TRUE","TRUE","A/SA","A/SA","D/SD","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","D/SD","D/SD","A/SA","Yes","A/SA","D/SD","A/SA"
"2714","A/SA","D/SD","D/SD","D/SD","Yes","No","TRUE","I don't know","TRUE","I don't know","A/SA","A/SA","N","D/SD","D/SD","A/SA","A/SA","A/SA","A/SA","N","A/SA","A/SA","N","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Unsure","A/SA","N","N"
"2715","N","N","D/SD","D/SD","No","No","TRUE","FALSE","TRUE","TRUE","A/SA","A/SA","N","N","N","A/SA","N","A/SA","N","D/SD","A/SA","N","A/SA","I don't know","A/SA","A/SA","N","N","N","Yes","A/SA","A/SA","A/SA"
"2716","N","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","N","D/SD","D/SD","A/SA","N","N","A/SA","N","N","N","N","I don't know","A/SA","A/SA","A/SA","N","A/SA","Yes","N","N","N"
"2717","N","N","D/SD","D/SD","Yes","No","I don't know","I don't know","TRUE","FALSE","A/SA","A/SA","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","A/SA","D/SD","A/SA","A/SA","D/SD","I don't know","N","A/SA","A/SA","A/SA","A/SA","Yes","N","A/SA","A/SA"
"2718","N","A/SA","N","D/SD","Yes","No","I don't know","FALSE","TRUE","FALSE","A/SA","A/SA","A/SA","N","D/SD","N","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Unsure","N","A/SA","A/SA"
"2719","N","N","N","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","N","N","N","N","N","N","N","A/SA","D/SD","D/SD","A/SA","N","A/SA","I don't know","A/SA","A/SA","N","A/SA","A/SA","Unsure","N","N","A/SA"
"2720","N","D/SD","D/SD","D/SD","Yes","No","TRUE","FALSE","TRUE","I don't know","A/SA","A/SA","N","D/SD","D/SD","A/SA","N","D/SD","D/SD","A/SA","A/SA","A/SA","A/SA","I don't know","D/SD","D/SD","D/SD","D/SD","D/SD","Unsure","A/SA","A/SA","A/SA"
"2721","A/SA","N","A/SA","A/SA","No","No","I don't know","I don't know","TRUE","I don't know","A/SA","A/SA","N","D/SD","D/SD","A/SA","N","N","A/SA","A/SA","A/SA","A/SA","N","I don't know","N","A/SA","A/SA","N","N","Yes","A/SA","A/SA","A/SA"
"2722","A/SA","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","FALSE","FALSE","A/SA","A/SA","N","D/SD","D/SD","A/SA","N","N","A/SA","A/SA","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","Unsure","A/SA","A/SA","N"
"2723","N","D/SD","D/SD","D/SD","No","No","I don't know","TRUE","TRUE","I don't know","A/SA","A/SA","N","D/SD","N","A/SA","N","N","A/SA","A/SA","N","A/SA","D/SD","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","Yes","A/SA","D/SD","N"
"2724","N","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","N","D/SD","D/SD","D/SD","D/SD","D/SD","N","D/SD","A/SA","N","N","N","D/SD","I don't know","N","A/SA","N","N","N","Yes","N","D/SD","A/SA"
"2725","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","N","N","N","D/SD","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","D/SD","D/SD","N","Yes","A/SA","A/SA","A/SA"
"2726","N","D/SD","D/SD","D/SD","No","No","TRUE","I don't know","I don't know","I don't know","A/SA","A/SA","N","D/SD","D/SD","A/SA","N","A/SA","A/SA","N","N","N","N","I don't know","A/SA","A/SA","N","N","N","Unsure","A/SA","N","N"
"2727","D/SD","D/SD","D/SD","N","Yes","No","I don't know","I don't know","TRUE","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","A/SA","A/SA","D/SD","A/SA","A/SA","N","A/SA","A/SA","I don't know","A/SA","N","D/SD","D/SD","D/SD","Unsure","A/SA","A/SA","N"
"2728","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","A/SA","N","D/SD","N","A/SA","A/SA","N","A/SA","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","N","N"
"2729","N","N","N","N","Yes","Yes","TRUE","TRUE","TRUE","TRUE","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","D/SD","I don't know","N","N","N","N","N","Yes","A/SA","A/SA","A/SA"
"2730","N","N","N","N","Yes","Yes","TRUE","FALSE","TRUE","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","N","A/SA","A/SA","A/SA","N","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","A/SA","D/SD"
"2731","A/SA","N","N","N","Yes","Yes","I don't know","FALSE","TRUE","TRUE","A/SA","A/SA","D/SD","D/SD","D/SD","N","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","N","I don't know","A/SA","A/SA","A/SA","N","N","Yes","A/SA","N","D/SD"
"2732","N","N","N","N","Yes","No","TRUE","FALSE","TRUE","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","N","A/SA","N","Yes","A/SA","A/SA","A/SA"
"2733","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","N","A/SA","D/SD","D/SD","D/SD","A/SA","D/SD","A/SA","A/SA","A/SA","N","N","A/SA","I don't know","A/SA","A/SA","N","A/SA","N","Unsure","A/SA","N","N"
"2734","N","N","N","A/SA","Yes","No","TRUE","FALSE","I don't know","TRUE","A/SA","A/SA","D/SD","N","D/SD","D/SD","A/SA","A/SA","D/SD","A/SA","D/SD","A/SA","D/SD","I don't know","A/SA","A/SA","A/SA","A/SA","N","Yes","D/SD","D/SD","A/SA"
"2735","N","N","N","D/SD","Yes","No","FALSE","FALSE","TRUE","FALSE","A/SA","A/SA","D/SD","D/SD","D/SD","N","A/SA","A/SA","A/SA","D/SD","A/SA","A/SA","D/SD","I don't know","N","N","A/SA","N","A/SA","Yes","A/SA","D/SD","A/SA"
"2736","N","N","N","D/SD","No","No","TRUE","FALSE","TRUE","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","N","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","A/SA","A/SA","N","Yes","A/SA","N","A/SA"
"2737","N","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","A/SA","N","A/SA","A/SA","A/SA","A/SA","A/SA","N","I don't know","N","N","D/SD","D/SD","D/SD","Unsure","A/SA","A/SA","N"
"2738","D/SD","D/SD","N","D/SD","Yes","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","N","N","D/SD","D/SD","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","Yes","A/SA","A/SA","A/SA"
"2739","A/SA","N","D/SD","D/SD","No","No","I don't know","I don't know","TRUE","I don't know","A/SA","A/SA","A/SA","N","D/SD","A/SA","N","A/SA","A/SA","A/SA","A/SA","N","N","I don't know","N","A/SA","N","D/SD","N","Yes","A/SA","D/SD","A/SA"
"2740","N","A/SA","A/SA","A/SA","Yes","No","TRUE","I don't know","TRUE","I don't know","A/SA","A/SA","N","D/SD","D/SD","N","A/SA","A/SA","A/SA","D/SD","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","A/SA","A/SA","N","Yes","A/SA","A/SA","A/SA"
"2741","A/SA","D/SD","N","D/SD","Yes","No","TRUE","FALSE","TRUE","TRUE","A/SA","A/SA","N","N","N","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","A/SA","D/SD","D/SD","Unsure","A/SA","A/SA","A/SA"
"2742","A/SA","A/SA","A/SA","A/SA","Yes","Yes","TRUE","FALSE","TRUE","TRUE","A/SA","A/SA","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","A/SA","D/SD","A/SA","A/SA","N","I don't know","D/SD","A/SA","D/SD","A/SA","A/SA","Yes","A/SA","A/SA","A/SA"
