"","gender","university","living_zone","grade_merged","knowledge_merged","tech_merged","ai_training"
"2154","Female","Governnmental","Rural","Academic years","low","N","No"
"2155","Female","Governnmental","Urban","Academic years","high/moderate","N","Yes"
"2156","Female","Governnmental","Rural","Academic years","high/moderate","A/SA","Yes"
"2157","Male","Governnmental","Urban","Clinical Years","low","N","No"
"2158","Male","Governnmental","Urban","Clinical Years","low","D/SD","No"
"2159","Male","Governnmental","Urban","Clinical Years","high/moderate","A/SA","No"
"2160","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2161","Male","Governnmental","Urban","Clinical Years","low","N","No"
"2162","Female","Governnmental","Urban","Academic years","low","A/SA","No"
"2163","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2164","Male","Governnmental","Rural","Clinical Years","high/moderate","A/SA","No"
"2165","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"2166","Male","Governnmental","Urban","Clinical Years","low","N","No"
"2167","Female","Governnmental","Rural","Clinical Years","low","N","No"
"2168","Male","Governnmental","Urban","Clinical Years","low","D/SD","No"
"2169","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"2170","Female","Governnmental","Urban","Clinical Years","low","N","Yes"
"2171","Female","Governnmental","Urban","Academic years","low","N","No"
"2172","Female","Governnmental","Urban","Clinical Years","low","N","No"
"2173","Male","Governnmental","Urban","Clinical Years","high/moderate","A/SA","Yes"
"2174","Female","Governnmental","Urban","Clinical Years","low","N","No"
"2175","Female","Governnmental","Rural","Clinical Years","low","N","No"
"2176","Male","Governnmental","Rural","Academic years","low","A/SA","Yes"
"2177","Female","Governnmental","Urban","Academic years","low","N","No"
"2178","Female","Governnmental","Rural","Clinical Years","low","N","No"
"2179","Female","Governnmental","Rural","Clinical Years","low","A/SA","No"
"2180","Female","Governnmental","Urban","Clinical Years","low","N","No"
"2181","Female","Governnmental","Rural","Clinical Years","low","A/SA","No"
"2182","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2183","Female","Governnmental","Rural","Clinical Years","high/moderate","A/SA","No"
"2184","Male","Governnmental","Urban","Academic years","low","N","No"
"2185","Female","Governnmental","Rural","Clinical Years","low","N","No"
"2186","Female","Governnmental","Rural","Clinical Years","high/moderate","A/SA","No"
"2187","Female","Governnmental","Rural","Clinical Years","high/moderate","A/SA","No"
"2188","Female","Governnmental","Rural","Academic years","low","D/SD","No"
"2189","Female","Governnmental","Rural","Academic years","low","D/SD","No"
"2190","Female","Governnmental","Rural","Clinical Years","low","N","No"
"2191","Male","Governnmental","Urban","Clinical Years","low","D/SD","No"
"2192","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"2193","Male","Governnmental","Urban","Clinical Years","low","N","No"
"2194","Male","Governnmental","Urban","Clinical Years","low","N","No"
"2195","Female","Governnmental","Urban","Clinical Years","high/moderate","N","No"
"2196","Male","Governnmental","Urban","Academic years","high/moderate","A/SA","Yes"
"2197","Male","Governnmental","Rural","Clinical Years","low","D/SD","No"
"2198","Male","Governnmental","Urban","Clinical Years","low","N","No"
"2199","Male","Governnmental","Rural","Clinical Years","low","A/SA","No"
"2200","Male","Governnmental","Urban","Academic years","low","N","No"
"2201","Male","Governnmental","Rural","Clinical Years","low","D/SD","No"
"2202","Female","Governnmental","Urban","Academic years","low","N","No"
"2203","Male","Governnmental","Rural","Academic years","low","D/SD","No"
"2204","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2205","Female","Governnmental","Urban","Clinical Years","low","N","No"
"2206","Female","Governnmental","Urban","Clinical Years","low","N","No"
"2207","Male","Governnmental","Rural","Clinical Years","low","N","No"
"2208","Male","Governnmental","Urban","Academic years","low","N","No"
"2209","Male","Governnmental","Urban","Academic years","low","N","Yes"
"2210","Male","Governnmental","Urban","Clinical Years","low","D/SD","No"
"2211","Female","Governnmental","Urban","Academic years","low","N","No"
"2212","Male","Governnmental","Urban","Academic years","low","A/SA","No"
"2213","Female","Governnmental","Rural","Academic years","low","N","No"
"2214","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"2215","Female","Governnmental","Urban","Academic years","low","A/SA","No"
"2216","Female","Governnmental","Urban","Academic years","low","N","No"
"2217","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"2218","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"2219","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2220","Male","Governnmental","Rural","Academic years","low","A/SA","No"
"2221","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"2222","Female","Governnmental","Urban","Academic years","low","A/SA","No"
"2223","Male","Private","Urban","Clinical Years","low","A/SA","No"
"2224","Male","Governnmental","Urban","Academic years","high/moderate","A/SA","No"
"2225","Female","Governnmental","Urban","Academic years","low","A/SA","No"
"2226","Male","Governnmental","Urban","Academic years","low","N","No"
"2227","Male","Governnmental","Rural","Academic years","low","D/SD","No"
"2228","Male","Governnmental","Urban","Academic years","low","A/SA","No"
"2229","Male","Governnmental","Urban","Academic years","low","N","No"
"2230","Male","Governnmental","Rural","Academic years","low","D/SD","No"
"2231","Female","Governnmental","Urban","Clinical Years","low","N","No"
"2232","Female","Governnmental","Urban","Academic years","low","N","No"
"2233","Male","Private","Urban","Clinical Years","low","N","No"
"2234","Male","Governnmental","Urban","Clinical Years","low","N","No"
"2235","Male","Governnmental","Urban","Academic years","high/moderate","A/SA","No"
"2236","Male","Governnmental","Urban","Clinical Years","low","N","No"
"2237","Male","Private","Urban","Academic years","high/moderate","A/SA","Yes"
"2238","Female","Governnmental","Rural","Clinical Years","low","N","No"
"2239","Female","Governnmental","Urban","Academic years","low","N","No"
"2240","Male","Governnmental","Urban","Clinical Years","low","D/SD","No"
"2241","Female","Governnmental","Urban","Clinical Years","low","N","No"
"2242","Male","Governnmental","Rural","Clinical Years","low","N","No"
"2243","Male","Governnmental","Urban","Academic years","low","A/SA","No"
"2244","Female","Governnmental","Urban","Clinical Years","low","N","No"
"2245","Female","Governnmental","Rural","Clinical Years","low","N","No"
"2246","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2247","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"2248","Female","Private","Urban","Clinical Years","low","D/SD","No"
"2249","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"2250","Male","Governnmental","Urban","Clinical Years","low","N","No"
"2251","Male","Governnmental","Urban","Academic years","low","D/SD","No"
"2252","Male","Governnmental","Urban","Clinical Years","low","N","No"
"2253","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2254","Male","Governnmental","Rural","Academic years","low","N","No"
"2255","Female","Governnmental","Urban","Academic years","low","N","No"
"2256","Female","Governnmental","Rural","Academic years","low","D/SD","No"
"2257","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2258","Male","Governnmental","Urban","Academic years","low","N","No"
"2259","Male","Governnmental","Rural","Clinical Years","low","N","No"
"2260","Male","Governnmental","Urban","Academic years","low","N","Yes"
"2261","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"2262","Male","Governnmental","Urban","Academic years","low","D/SD","No"
"2263","Male","Governnmental","Urban","Academic years","low","D/SD","No"
"2264","Female","Governnmental","Rural","Clinical Years","low","A/SA","No"
"2265","Male","Governnmental","Urban","Academic years","low","D/SD","No"
"2266","Male","Governnmental","Urban","Academic years","low","A/SA","No"
"2267","Female","Governnmental","Urban","Clinical Years","low","N","No"
"2268","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"2269","Female","Governnmental","Urban","Clinical Years","low","N","No"
"2270","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2271","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2272","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2273","Female","Governnmental","Urban","Clinical Years","low","N","No"
"2274","Female","Governnmental","Urban","Clinical Years","low","N","No"
"2275","Female","Governnmental","Rural","Academic years","low","N","No"
"2276","Male","Governnmental","Urban","Academic years","low","A/SA","No"
"2277","Male","Governnmental","Urban","Clinical Years","low","N","No"
"2278","Female","Governnmental","Urban","Clinical Years","low","N","No"
"2279","Male","Governnmental","Urban","Clinical Years","low","D/SD","No"
"2280","Male","Governnmental","Urban","Academic years","low","A/SA","No"
"2281","Female","Governnmental","Rural","Clinical Years","low","N","No"
"2282","Male","Governnmental","Urban","Clinical Years","high/moderate","A/SA","No"
"2283","Female","Governnmental","Rural","Clinical Years","low","N","No"
"2284","Male","Governnmental","Urban","Academic years","low","D/SD","No"
"2285","Female","Governnmental","Urban","Clinical Years","low","N","No"
"2286","Female","Governnmental","Urban","Academic years","low","N","No"
"2287","Female","Governnmental","Urban","Academic years","high/moderate","N","No"
"2288","Male","Governnmental","Urban","Academic years","low","A/SA","No"
"2289","Female","Private","Urban","Academic years","low","N","No"
"2290","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2291","Female","Governnmental","Rural","Clinical Years","low","D/SD","No"
"2292","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2293","Female","Governnmental","Rural","Clinical Years","low","D/SD","No"
"2294","Male","Governnmental","Rural","Clinical Years","low","D/SD","No"
"2295","Male","Governnmental","Urban","Clinical Years","low","D/SD","No"
"2296","Male","Governnmental","Urban","Academic years","low","A/SA","No"
"2297","Male","Governnmental","Urban","Academic years","low","D/SD","No"
"2298","Female","Governnmental","Urban","Academic years","low","A/SA","Yes"
"2299","Male","Governnmental","Urban","Clinical Years","low","N","No"
"2300","Female","Governnmental","Urban","Clinical Years","low","N","No"
"2301","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2302","Male","Governnmental","Urban","Clinical Years","low","D/SD","No"
"2303","Male","Governnmental","Urban","Clinical Years","low","N","No"
"2304","Male","Governnmental","Urban","Clinical Years","low","D/SD","No"
"2305","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2306","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2307","Male","Governnmental","Urban","Academic years","high/moderate","A/SA","No"
"2308","Male","Governnmental","Urban","Clinical Years","low","N","No"
"2309","Female","Governnmental","Rural","Academic years","low","D/SD","No"
"2310","Male","Governnmental","Urban","Academic years","low","A/SA","No"
"2311","Female","Governnmental","Urban","Academic years","low","A/SA","No"
"2312","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"2313","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"2314","Male","Governnmental","Urban","Clinical Years","low","N","No"
"2315","Male","Governnmental","Urban","Clinical Years","high/moderate","A/SA","No"
"2316","Male","Governnmental","Rural","Clinical Years","high/moderate","D/SD","No"
"2317","Male","Governnmental","Urban","Clinical Years","low","N","No"
"2318","Male","Governnmental","Urban","Clinical Years","low","N","No"
"2319","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"2320","Male","Governnmental","Urban","Clinical Years","low","N","No"
"2321","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"2322","Female","Governnmental","Rural","Clinical Years","low","A/SA","No"
"2323","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"2324","Female","Governnmental","Rural","Clinical Years","low","A/SA","No"
"2325","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2326","Female","Governnmental","Urban","Clinical Years","low","N","No"
"2327","Male","Governnmental","Rural","Clinical Years","low","N","No"
"2328","Male","Governnmental","Urban","Clinical Years","low","N","No"
"2329","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2330","Male","Governnmental","Urban","Clinical Years","low","N","No"
"2331","Male","Governnmental","Urban","Clinical Years","low","D/SD","No"
"2332","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2333","Female","Governnmental","Urban","Clinical Years","low","N","Yes"
"2334","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2335","Male","Governnmental","Urban","Clinical Years","low","N","No"
"2336","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2337","Female","Governnmental","Rural","Clinical Years","low","N","No"
"2338","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"2339","Female","Governnmental","Urban","Clinical Years","low","N","No"
"2340","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2341","Male","Governnmental","Urban","Clinical Years","low","A/SA","Yes"
"2342","Male","Governnmental","Urban","Clinical Years","high/moderate","N","Yes"
"2343","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2344","Female","Governnmental","Urban","Clinical Years","low","N","No"
"2345","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"2346","Female","Governnmental","Urban","Clinical Years","low","N","No"
"2347","Male","Governnmental","Urban","Clinical Years","high/moderate","A/SA","No"
"2348","Male","Governnmental","Urban","Clinical Years","high/moderate","N","No"
"2349","Male","Governnmental","Rural","Clinical Years","high/moderate","A/SA","No"
"2350","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2351","Female","Governnmental","Urban","Academic years","low","A/SA","Yes"
"2352","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2353","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"2354","Male","Governnmental","Urban","Academic years","low","A/SA","No"
"2355","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2356","Female","Governnmental","Urban","Academic years","low","A/SA","No"
"2357","Female","Governnmental","Urban","Clinical Years","low","N","No"
"2358","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"2359","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2360","Female","Governnmental","Urban","Clinical Years","low","N","No"
"2361","Female","Governnmental","Urban","Academic years","low","N","No"
"2362","Male","Governnmental","Rural","Academic years","low","A/SA","No"
"2363","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2364","Male","Governnmental","Urban","Academic years","low","A/SA","No"
"2365","Female","Governnmental","Urban","Clinical Years","low","N","No"
"2366","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"2367","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"2368","Female","Governnmental","Urban","Academic years","low","N","No"
"2369","Male","Governnmental","Urban","Academic years","low","N","No"
"2370","Male","Governnmental","Rural","Academic years","low","A/SA","No"
"2371","Female","Governnmental","Rural","Academic years","low","N","No"
"2372","Female","Private","Urban","Clinical Years","low","D/SD","No"
"2373","Male","Governnmental","Urban","Academic years","low","N","No"
"2374","Male","Governnmental","Urban","Academic years","low","A/SA","No"
"2375","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2376","Female","Governnmental","Rural","Academic years","low","N","No"
"2377","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2378","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"2379","Female","Governnmental","Urban","Clinical Years","low","N","No"
"2380","Male","Governnmental","Urban","Academic years","low","N","No"
"2381","Female","Governnmental","Urban","Academic years","low","A/SA","No"
"2382","Female","Governnmental","Urban","Clinical Years","low","N","No"
"2383","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"2384","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"2385","Female","Governnmental","Urban","Academic years","low","N","No"
"2386","Female","Governnmental","Urban","Academic years","high/moderate","A/SA","Yes"
"2387","Female","Governnmental","Rural","Academic years","low","N","No"
"2388","Female","Governnmental","Urban","Academic years","low","N","No"
"2389","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2390","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2391","Male","Governnmental","Rural","Clinical Years","low","D/SD","No"
"2392","Male","Governnmental","Urban","Clinical Years","low","D/SD","No"
"2393","Male","Governnmental","Urban","Clinical Years","low","D/SD","No"
"2394","Male","Governnmental","Rural","Clinical Years","low","D/SD","No"
"2395","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"2396","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"2397","Male","Governnmental","Urban","Academic years","low","N","Yes"
"2398","Male","Governnmental","Urban","Clinical Years","high/moderate","N","Yes"
"2399","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"2400","Male","Governnmental","Urban","Clinical Years","low","D/SD","Yes"
"2401","Male","Governnmental","Urban","Clinical Years","low","D/SD","No"
"2402","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2403","Male","Governnmental","Rural","Clinical Years","high/moderate","A/SA","No"
"2404","Male","Governnmental","Urban","Clinical Years","high/moderate","A/SA","Yes"
"2405","Male","Governnmental","Urban","Academic years","low","A/SA","No"
"2406","Male","Governnmental","Rural","Clinical Years","low","A/SA","No"
"2407","Male","Governnmental","Urban","Academic years","low","A/SA","No"
"2408","Male","Governnmental","Rural","Academic years","low","D/SD","No"
"2409","Female","Governnmental","Rural","Academic years","low","N","No"
"2410","Male","Governnmental","Rural","Clinical Years","low","D/SD","No"
"2411","Female","Governnmental","Rural","Academic years","low","D/SD","No"
"2412","Female","Governnmental","Rural","Academic years","low","D/SD","No"
"2413","Male","Governnmental","Urban","Clinical Years","low","N","No"
"2414","Male","Governnmental","Urban","Clinical Years","low","N","No"
"2415","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2416","Female","Governnmental","Urban","Clinical Years","low","N","No"
"2417","Male","Governnmental","Urban","Clinical Years","low","N","No"
"2418","Male","Governnmental","Rural","Academic years","low","N","No"
"2419","Female","Governnmental","Urban","Academic years","low","N","No"
"2420","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"2421","Male","Governnmental","Urban","Academic years","low","N","No"
"2422","Male","Governnmental","Urban","Academic years","low","A/SA","No"
"2423","Female","Governnmental","Urban","Clinical Years","low","N","No"
"2424","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"2425","Male","Governnmental","Urban","Clinical Years","low","N","No"
"2426","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2427","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2428","Female","Governnmental","Urban","Academic years","low","N","No"
"2429","Female","Governnmental","Urban","Clinical Years","low","N","No"
"2430","Female","Governnmental","Urban","Clinical Years","low","N","No"
"2431","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"2432","Female","Governnmental","Urban","Clinical Years","low","N","No"
"2433","Female","Governnmental","Urban","Clinical Years","low","N","No"
"2434","Male","Governnmental","Urban","Academic years","low","D/SD","No"
"2435","Female","Governnmental","Urban","Academic years","low","N","No"
"2436","Male","Governnmental","Urban","Academic years","low","D/SD","No"
"2437","Male","Governnmental","Urban","Clinical Years","low","D/SD","No"
"2438","Male","Governnmental","Rural","Clinical Years","low","N","No"
"2439","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"2440","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2441","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"2442","Female","Governnmental","Urban","Clinical Years","low","N","No"
"2443","Male","Governnmental","Urban","Academic years","low","N","No"
"2444","Female","Governnmental","Urban","Academic years","low","N","No"
"2445","Male","Governnmental","Rural","Academic years","low","N","No"
"2446","Female","Governnmental","Urban","Clinical Years","low","N","No"
"2447","Male","Governnmental","Urban","Clinical Years","low","N","No"
"2448","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"2449","Male","Governnmental","Urban","Academic years","low","D/SD","No"
"2450","Male","Governnmental","Rural","Clinical Years","low","N","No"
"2451","Male","Governnmental","Urban","Clinical Years","low","N","No"
"2452","Male","Governnmental","Urban","Academic years","low","A/SA","No"
"2453","Female","Governnmental","Urban","Clinical Years","low","N","No"
"2454","Male","Private","Urban","Academic years","low","N","No"
"2455","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"2456","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"2457","Male","Governnmental","Urban","Academic years","low","N","No"
"2458","Female","Governnmental","Urban","Academic years","low","N","No"
"2459","Male","Governnmental","Urban","Clinical Years","high/moderate","A/SA","No"
"2460","Male","Governnmental","Urban","Clinical Years","low","A/SA","Yes"
"2461","Female","Governnmental","Urban","Academic years","low","N","No"
"2462","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"2463","Female","Governnmental","Urban","Academic years","low","N","No"
"2464","Female","Governnmental","Urban","Academic years","low","N","No"
"2465","Female","Governnmental","Urban","Academic years","low","N","No"
"2466","Female","Governnmental","Urban","Clinical Years","low","N","No"
"2467","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2468","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2469","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2470","Male","Governnmental","Urban","Academic years","low","A/SA","No"
"2471","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"2472","Female","Governnmental","Rural","Clinical Years","low","D/SD","No"
"2473","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2474","Male","Governnmental","Rural","Clinical Years","low","N","No"
"2475","Female","Governnmental","Urban","Clinical Years","low","N","No"
"2476","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"2477","Male","Governnmental","Urban","Clinical Years","low","A/SA","Yes"
"2478","Female","Governnmental","Urban","Academic years","low","N","No"
"2479","Male","Governnmental","Rural","Clinical Years","low","A/SA","No"
"2480","Male","Governnmental","Urban","Clinical Years","low","N","No"
"2481","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2482","Female","Governnmental","Rural","Clinical Years","low","N","No"
"2483","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2484","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"2485","Male","Governnmental","Urban","Clinical Years","low","N","No"
"2486","Male","Governnmental","Rural","Academic years","low","A/SA","No"
"2487","Male","Governnmental","Urban","Clinical Years","low","D/SD","No"
"2488","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"2489","Male","Governnmental","Urban","Academic years","low","D/SD","No"
"2490","Male","Governnmental","Urban","Clinical Years","low","N","No"
"2491","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"2492","Female","Governnmental","Urban","Academic years","low","N","No"
"2493","Male","Governnmental","Rural","Clinical Years","low","A/SA","No"
"2494","Male","Private","Urban","Academic years","low","A/SA","No"
"2495","Female","Governnmental","Urban","Academic years","low","A/SA","No"
"2496","Female","Governnmental","Rural","Academic years","low","D/SD","No"
"2497","Male","Governnmental","Urban","Academic years","low","D/SD","No"
"2498","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2499","Female","Governnmental","Urban","Academic years","low","N","No"
"2500","Female","Governnmental","Urban","Academic years","high/moderate","D/SD","No"
"2501","Female","Private","Urban","Academic years","low","N","No"
"2502","Male","Governnmental","Urban","Clinical Years","low","D/SD","No"
"2503","Male","Governnmental","Urban","Clinical Years","low","D/SD","No"
"2504","Male","Governnmental","Urban","Clinical Years","low","N","No"
"2505","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2506","Male","Governnmental","Urban","Clinical Years","low","D/SD","No"
"2507","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"2508","Female","Governnmental","Urban","Clinical Years","low","N","No"
"2509","Male","Governnmental","Urban","Clinical Years","high/moderate","A/SA","No"
"2510","Female","International","Urban","Academic years","low","D/SD","No"
"2511","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2512","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2513","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2514","Female","Governnmental","Urban","Academic years","low","N","No"
"2515","Male","Governnmental","Urban","Clinical Years","low","N","No"
"2516","Female","Governnmental","Urban","Clinical Years","low","N","No"
"2517","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2518","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"2519","Female","Governnmental","Rural","Clinical Years","low","D/SD","Yes"
"2520","Female","Governnmental","Urban","Clinical Years","low","N","No"
"2521","Male","Governnmental","Urban","Clinical Years","low","D/SD","No"
"2522","Male","Private","Urban","Academic years","low","N","No"
"2523","Female","Governnmental","Urban","Academic years","low","N","No"
"2524","Female","Governnmental","Urban","Clinical Years","low","N","No"
"2525","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"2526","Female","Private","Urban","Academic years","high/moderate","A/SA","Yes"
"2527","Male","Governnmental","Urban","Academic years","low","A/SA","No"
"2528","Male","Governnmental","Rural","Clinical Years","low","D/SD","No"
"2529","Female","Governnmental","Rural","Academic years","low","N","No"
"2530","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"2531","Male","Governnmental","Urban","Academic years","low","D/SD","No"
"2532","Male","Governnmental","Urban","Clinical Years","low","N","No"
"2533","Female","Governnmental","Urban","Academic years","low","N","No"
"2534","Female","Governnmental","Rural","Clinical Years","low","A/SA","No"
"2535","Female","Governnmental","Urban","Academic years","low","N","No"
"2536","Male","Private","Urban","Academic years","high/moderate","A/SA","No"
"2537","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2538","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"2539","Female","Governnmental","Urban","Academic years","low","N","No"
"2540","Female","Governnmental","Urban","Academic years","low","N","No"
"2541","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2542","Female","Governnmental","Urban","Academic years","low","N","Yes"
"2543","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"2544","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"2545","Female","Governnmental","Rural","Academic years","high/moderate","A/SA","No"
"2546","Female","Governnmental","Urban","Academic years","low","A/SA","No"
"2547","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"2548","Female","Governnmental","Urban","Academic years","low","A/SA","No"
"2549","Female","Governnmental","Urban","Clinical Years","low","N","No"
"2550","Female","Governnmental","Rural","Academic years","high/moderate","N","No"
"2551","Female","Governnmental","Urban","Academic years","low","A/SA","No"
"2552","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"2553","Male","Governnmental","Urban","Academic years","low","N","No"
"2554","Male","Governnmental","Rural","Academic years","low","D/SD","No"
"2555","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"2556","Female","Governnmental","Urban","Academic years","low","N","No"
"2557","Female","Governnmental","Urban","Academic years","low","A/SA","No"
"2558","Male","Governnmental","Urban","Clinical Years","low","D/SD","No"
"2559","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"2560","Female","Governnmental","Urban","Academic years","low","N","No"
"2561","Female","Governnmental","Rural","Academic years","low","A/SA","No"
"2562","Female","Governnmental","Urban","Clinical Years","high/moderate","A/SA","Yes"
"2563","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"2564","Female","Governnmental","Rural","Clinical Years","low","N","No"
"2565","Female","Governnmental","Urban","Academic years","low","N","No"
"2566","Male","Governnmental","Urban","Academic years","low","N","No"
"2567","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"2568","Female","Governnmental","Urban","Clinical Years","low","N","No"
"2569","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"2570","Female","Governnmental","Rural","Academic years","low","N","No"
"2571","Female","Governnmental","Rural","Academic years","low","D/SD","No"
"2572","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"2573","Female","Governnmental","Rural","Academic years","low","N","No"
"2574","Female","Governnmental","Urban","Academic years","low","N","No"
"2575","Male","Governnmental","Urban","Academic years","low","D/SD","No"
"2576","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"2577","Male","Governnmental","Urban","Academic years","low","N","No"
"2578","Male","Governnmental","Urban","Academic years","low","N","No"
"2579","Male","Governnmental","Urban","Academic years","low","N","No"
"2580","Male","Governnmental","Urban","Academic years","low","D/SD","No"
"2581","Male","Governnmental","Urban","Academic years","low","N","No"
"2582","Male","Governnmental","Urban","Academic years","low","D/SD","No"
"2583","Male","Governnmental","Urban","Academic years","low","D/SD","No"
"2584","Male","Governnmental","Urban","Clinical Years","low","N","No"
"2585","Female","Governnmental","Rural","Clinical Years","low","N","No"
"2586","Female","Governnmental","Rural","Academic years","low","A/SA","No"
